iter	Passed	Remaining
0	1	100
1	1	95
2	2	90
3	3	86
4	4	85
5	5	86
6	6	85
7	7	84
8	8	83
9	9	82
10	10	82
11	11	82
12	12	83
13	13	82
14	14	81
15	15	81
16	16	80
17	17	79
18	18	78
19	19	77
20	20	76
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	39	58
40	39	57
41	40	55
42	41	55
43	42	53
44	43	52
45	44	51
46	45	50
47	46	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	39
58	56	38
59	56	37
60	57	36
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
