iter	Passed	Remaining
0	1082	1081841
1	1084	541254
2	1086	361094
3	1088	270964
4	1089	216862
5	1091	180880
6	1093	155123
7	1095	135802
8	1096	120784
9	1100	108931
10	1102	99082
11	1103	90893
12	1105	83950
13	1107	77991
14	1109	72849
15	1116	68640
16	1118	64680
17	1120	61116
18	1121	57923
19	1123	55060
20	1125	52455
21	1128	50187
22	1132	48091
23	1133	46088
24	1134	44248
25	1136	42557
26	1137	40981
27	1138	39521
28	1139	38159
29	1140	36890
30	1147	35865
31	1151	34820
32	1152	33773
33	1154	32800
34	1165	32135
35	1167	31252
36	1169	30428
37	1170	29636
38	1181	29124
39	1184	28416
40	1185	27729
41	1193	27227
42	1195	26605
43	1197	26015
44	1199	25454
45	1200	24907
46	1208	24511
47	1211	24025
48	1214	23563
49	1216	23110
50	1224	22781
51	1226	22359
52	1228	21943
53	1230	21548
54	1231	21161
55	1238	20882
56	1240	20517
57	1241	20164
58	1243	19824
59	1244	19502
60	1245	19179
61	1247	18868
62	1252	18621
63	1253	18333
64	1260	18124
65	1261	17852
66	1262	17585
67	1269	17401
68	1270	17148
69	1272	16909
70	1274	16669
71	1276	16446
72	1277	16225
73	1283	16066
74	1285	15857
75	1288	15666
76	1290	15472
77	1292	15273
78	1293	15079
79	1300	14952
80	1301	14768
81	1304	14599
82	1304	14416
83	1306	14244
84	1307	14075
85	1313	13957
86	1314	13794
87	1315	13636
88	1317	13481
89	1318	13333
90	1320	13186
91	1321	13041
92	1322	12901
93	1324	12766
94	1329	12661
95	1330	12529
96	1331	12398
97	1333	12269
98	1334	12143
99	1335	12020
100	1337	11902
101	1342	11822
102	1344	11708
103	1346	11598
104	1347	11487
105	1349	11378
106	1350	11271
107	1351	11165
108	1361	11128
109	1363	11030
110	1365	10933
111	1366	10838
112	1368	10744
113	1376	10694
114	1378	10604
115	1380	10518
116	1381	10427
117	1383	10341
118	1385	10256
119	1393	10219
120	1395	10134
121	1396	10048
122	1397	9967
123	1399	9888
124	1406	9845
125	1408	9770
126	1412	9708
127	1413	9632
128	1416	9562
129	1421	9516
130	1423	9442
131	1428	9391
132	1429	9321
133	1431	9251
134	1438	9217
135	1440	9150
136	1441	9081
137	1443	9014
